Distribution_Center,SKU_Code,Product_Offering,Generation,ASP Group,Week,Forecasted,Unconstrained_Demand
I,Prod_A_2,A,2,1,50,3312,166
I,Prod_A_2,A,2,1,51,1822,124
I,Prod_A_2,A,2,1,55,331,166
I,Prod_A_2,A,2,1,58,83,83
I,Prod_A_2,A,2,1,59,166,41
I,Prod_A_2,A,2,1,61,166,497
I,Prod_A_2,A,2,1,62,41,290
I,Prod_A_2,A,2,1,63,41,2857
I,Prod_A_2,A,2,1,64,1159,248
I,Prod_A_2,A,2,1,66,124,538
I,Prod_A_2,A,2,1,68,166,455
I,Prod_A_2,A,2,1,70,41,331
I,Prod_A_2,A,2,1,71,41,83
I,Prod_A_2,A,2,1,72,166,331
I,Prod_A_2,A,2,1,73,41,580
I,Prod_A_2,A,2,1,75,124,248
I,Prod_A_2,A,2,1,76,580,869
I,Prod_A_2,A,2,1,77,662,2277
I,Prod_A_2,A,2,1,79,41,414
I,Prod_A_2,A,2,1,85,41,124
I,Prod_A_2,A,2,1,86,41,41
A,Prod_A_3,A,3,1,112,1283,166
A,Prod_A_3,A,3,1,113,642,41
A,Prod_A_3,A,3,1,114,646,41
A,Prod_A_3,A,3,1,115,1209,124
A,Prod_A_3,A,3,1,116,642,41
A,Prod_A_3,A,3,1,118,273,41
A,Prod_A_3,A,3,1,119,315,83
A,Prod_A_3,A,3,1,120,315,41
A,Prod_A_3,A,3,1,121,530,166
A,Prod_A_3,A,3,1,122,530,166
A,Prod_A_3,A,3,1,123,286,207
A,Prod_A_3,A,3,1,124,244,41
A,Prod_A_3,A,3,1,125,381,497
A,Prod_A_3,A,3,1,126,190,83
A,Prod_A_3,A,3,1,127,190,41
A,Prod_A_3,A,3,1,128,104,41
A,Prod_A_3,A,3,1,129,132,41
A,Prod_A_3,A,3,1,130,203,41
A,Prod_A_3,A,3,1,131,207,83
A,Prod_A_3,A,3,1,132,174,83
A,Prod_A_3,A,3,1,136,161,207
A,Prod_A_3,A,3,1,141,75,414
D,Prod_A_3,A,3,1,28,0,580
D,Prod_A_3,A,3,1,29,0,381
D,Prod_A_3,A,3,1,30,0,944
D,Prod_A_3,A,3,1,31,1317,1490
D,Prod_A_3,A,3,1,33,1449,1209
D,Prod_A_3,A,3,1,34,207,1457
D,Prod_A_3,A,3,1,35,1035,932
D,Prod_A_3,A,3,1,36,3291,480
D,Prod_A_3,A,3,1,37,2484,1466
D,Prod_A_3,A,3,1,38,3262,696
D,Prod_A_3,A,3,1,39,584,538
D,Prod_A_3,A,3,1,40,1387,542
D,Prod_A_3,A,3,1,41,1863,733
D,Prod_A_3,A,3,1,42,1590,1052
D,Prod_A_3,A,3,1,43,1532,811
D,Prod_A_3,A,3,1,44,2145,762
D,Prod_A_3,A,3,1,45,3080,1536
D,Prod_A_3,A,3,1,47,3892,1151
D,Prod_A_3,A,3,1,48,4720,1755
D,Prod_A_3,A,3,1,49,3933,1710
D,Prod_A_3,A,3,1,50,1739,2691
D,Prod_A_3,A,3,1,51,0,1081
D,Prod_A_3,A,3,1,52,1242,1060
D,Prod_A_3,A,3,1,53,2484,1379
D,Prod_A_3,A,3,1,54,4471,2203
