Linehaul,TLMD,NC,TFC,Total,Station_1_1_TM,Station_1_2_TM,Station_1_3_TM,Station_1_4_TM,Station_1_5_TM,Station_1_6_TM,Station_1_7_TM,Station_1_8_TM,Station_1_9_TM,Station_1_10_TM,Station_1_11_TM,Station_1_12_TM,Station_1_13_TM,Station_1_14_TM,Station_1_15_TM,Station_1_16_TM,Station_1_17_TM,Station_1_18_TM,Station_1_19_TM,Station_2_1_TM,Station_2_2_TM,Station_2_3_TM,Station_2_4_TM,Station_2_5_TM,Station_2_6_TM,Station_2_7_TM,Station_2_8_TM,Station_2_9_TM,Station_3_1_TM,Station_3_2_TM,Station_3_3_TM,Station_1_1_hours,Station_1_2_hours,Station_1_3_hours,Station_1_4_hours,Station_1_5_hours,Station_1_6_hours,Station_1_7_hours,Station_1_8_hours,Station_1_9_hours,Station_1_10_hours,Station_1_11_hours,Station_1_12_hours,Station_1_13_hours,Station_1_14_hours,Station_1_15_hours,Station_1_16_hours,Station_1_17_hours,Station_1_18_hours,Station_1_19_hours,Station_2_1_hours,Station_2_2_hours,Station_2_3_hours,Station_2_4_hours,Station_2_5_hours,Station_2_6_hours,Station_2_7_hours,Station_2_8_hours,Station_2_9_hours,Station_3_1_hours,Station_3_2_hours,Station_3_3_hours,Productivity,Total HC
3894,2072,1822,13594,17488,1,3,1,1,2,0,0,0,1,1,1,2,1,1,2,1,1,24,17,2,4,14,2,4,15,1,4,11,20,20,20,5,5.410714286,5,5,5,0,0,0,1.2184625,0.7310775,0.487385,0.544069444,0.652883333,0.435255556,1.265277778,1.518333333,1.012222222,5,5.410714286,0.880952381,0.880952381,0.880952381,0.518,0.518,0.518,0.460444444,0.460444444,0.460444444,0.117727273,0.070636364,0.047090909,57.62833135,50
14827,11314,3513,1206,16033,3,3,2,3,2,0,0,0,2,1,2,2,1,1,1,1,1,18,17,2,6,22,1,3,11,1,3,11,20,18,22,6.391096979,0.479332273,6.391096979,6.391096979,6.391096979,0,0,0,1.174659375,1.40959125,0.46986375,1.049020833,1.258825,0.839216667,4.879166667,2.9275,1.951666667,6.391096979,0.479332273,3.142777778,3.142777778,3.142777778,3.771333333,3.771333333,3.771333333,2.514222222,2.514222222,2.514222222,0.642840909,0.428560606,0.233760331,38.04060238,50
2588,1789,799,941,3529,1,3,1,1,1,0,0,0,3,3,3,5,3,2,4,4,4,7,15,1,3,11,2,4,14,2,4,13,18,17,25,5.062379915,0.423873874,5.062379915,5.062379915,5.062379915,0,0,0,0.178110417,0.10686625,0.071244167,0.095436111,0.095436111,0.095436111,0.277430556,0.166458333,0.110972222,5.062379915,0.423873874,0.993888889,0.993888889,0.993888889,0.456377551,0.456377551,0.456377551,0.327655678,0.327655678,0.327655678,0.112941919,0.071751337,0.032527273,34.63687728,50
1774,474,1300,4056,5830,1,5,1,1,1,0,0,0,1,1,1,2,1,1,2,1,2,11,28,2,4,14,2,4,14,1,2,5,20,20,20,5.119316078,0.978764479,5.119316078,5.119316078,5.119316078,0,0,0,0.869375,0.521625,0.34775,0.388194444,0.465833333,0.310555556,0.902777778,1.083333333,0.361111111,5.119316078,0.978764479,0.201530612,0.201530612,0.201530612,0.120918367,0.120918367,0.120918367,0.225714286,0.225714286,0.225714286,0.026931818,0.016159091,0.010772727,46.51957961,50
8646,5463,3183,10542,19188,2,3,2,2,2,0,0,0,1,1,1,2,1,1,1,1,1,23,16,2,6,21,2,4,15,1,2,7,17,16,26,6.396056119,4.451858108,6.396056119,6.396056119,6.396056119,0,0,0,2.12863125,1.27717875,0.8514525,0.950479167,1.140575,0.760383333,4.420833333,2.6525,1.768333333,6.396056119,4.451858108,1.548469388,1.548469388,1.548469388,1.36575,1.36575,1.36575,1.858163265,1.858163265,1.858163265,0.365173797,0.232798295,0.095506993,47.45419737,50
6653,5952,701,1666,8319,2,3,2,2,1,0,0,0,1,1,2,4,6,2,1,1,1,14,14,1,3,10,1,2,7,1,2,7,18,17,25,5,0.837301587,5,5,5,0,0,0,0.46879375,0.28127625,0.09375875,0.104663194,0.041865278,0.083730556,0.973611111,0.584166667,0.389444444,5,0.837301587,3.542857143,3.542857143,3.542857143,3.036734694,3.036734694,3.036734694,2.024489796,2.024489796,2.024489796,0.375757576,0.238716578,0.108218182,35.14638371,50
10268,8848,1420,6647,16915,2,3,2,2,1,0,0,0,2,2,1,3,2,1,1,2,2,19,15,2,5,18,2,4,14,1,3,11,30,16,14,6.49332465,2.994144144,6.49332465,6.49332465,6.49332465,0,0,0,0.4748125,0.2848875,0.37985,0.282685185,0.254416667,0.339222223,1.972222223,0.591666667,0.394444445,6.49332465,2.994144144,2.949333333,2.949333333,2.949333333,2.257142857,2.257142857,2.257142857,1.966222222,1.966222222,1.966222222,0.335151515,0.377045455,0.287272727,42.42118445,50
5020,4123,897,11132,16152,1,4,1,1,1,0,0,0,1,1,1,2,1,1,2,2,1,18,22,1,3,11,2,4,15,2,4,14,20,20,20,6.275,3.434441964,6.275,6.275,6.275,0,0,0,0.59986875,0.35992125,0.2399475,0.267854167,0.321425,0.214283333,0.622916667,0.37375,0.498333333,6.275,3.434441964,2.290555556,2.290555556,2.290555556,1.03075,1.03075,1.03075,0.701190476,0.701190476,0.701190476,0.234261364,0.140556818,0.093704545,51.85121896,50
9053,4323,4730,5279,14332,2,3,2,2,3,0,0,0,2,1,1,2,1,1,2,2,2,18,16,2,5,18,2,4,15,1,3,10,20,20,20,5.658125,2.276721726,5.658125,5.658125,5.658125,0,0,0,1.58159375,1.8979125,1.265275,1.412430556,1.694916667,1.129944444,3.284722222,1.970833333,1.313888889,5.658125,2.276721726,1.441,1.441,1.441,1.08075,1.08075,1.08075,1.029285714,1.029285714,1.029285714,0.245625,0.147375,0.09825,47.12957106,50
2982,1457,1525,1812,4794,1,3,1,1,1,0,0,0,3,3,2,5,3,2,4,3,4,8,16,2,4,14,2,4,14,2,4,14,20,20,20,5.421411483,0.772336001,5.421411483,5.421411483,5.421411483,0,0,0,0.339947917,0.20396875,0.20396875,0.182152778,0.182152778,0.182152778,0.529513889,0.423611111,0.211805556,5.421411483,0.772336001,0.619472789,0.619472789,0.619472789,0.371683673,0.371683673,0.371683673,0.247789116,0.247789116,0.247789116,0.082784091,0.049670455,0.033113636,41.35649175,50
