Station_1_1_hours,Station_1_2_hours,Station_1_3_hours,Station_1_4_hours,Station_1_5_hours,Station_1_6_hours,Station_1_7_hours,Station_1_8_hours,Station_1_9_hours,Station_1_10_hours,Station_1_11_hours,Station_1_12_hours,Station_1_13_hours,Station_1_14_hours,Station_1_15_hours,Station_1_16_hours,Station_1_17_hours,Station_1_18_hours,Station_1_19_hours,Station_2_1_hours,Station_2_2_hours,Station_2_3_hours,Station_2_4_hours,Station_2_5_hours,Station_2_6_hours,Station_2_7_hours,Station_2_8_hours,Station_2_9_hours,Station_3_1_hours,Station_3_2_hours,Station_3_3_hours
5.904999999999993,0.24369841269841266,5.904999999999993,5.904999999999993,5.904999999999993,0.0,0.0,5.904999999999993,4.829043749999999,5.794852499999999,3.8632350000000004,4.312541666666666,5.175049999999999,3.4500333333333333,5.0145833333333325,6.017499999999998,2.0619966666666647,5.904999999999993,0.24369841269841266,1.0604761904761904,1.0604761904761904,1.0604761904761904,1.484666666666656,1.484666666666656,1.484666666666656,1.514965986394558,1.514965986394558,1.514965986394558,0.23006198347107443,0.1380371900826444,0.09640692640692669
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.199173553718985,0.25995867768594927,5.199173553718985,5.199173553718985,5.199173553718985,0.0,0.0,0.0,0.2994662500000004,0.17967974999999967,0.14973312500000002,0.1910257936507926,0.20057708333333224,0.13371805555555571,0.6219444444444449,0.3731666666666655,0.31097222222222043,5.199173553718985,0.25995867768594927,1.2059523809523554,1.2059523809523554,1.2059523809523554,0.7616541353383339,0.7616541353383339,0.7616541353383339,1.3782312925169644,1.3782312925169644,1.3782312925169644,0.20929752066115723,0.12557851239669435,0.08770562770562779
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.0,3.7738095238095237,5.0,5.0,5.0,0.0,0.0,0.0,0.8837531249999974,1.0605037499999952,0.7070024999999989,0.7892291666666651,0.9470749999999981,0.6313833333333321,1.8354166666666658,2.202499999999997,0.7341666666666659,5.0,3.7738095238095237,1.4306722689075588,1.4306722689075588,1.4306722689075588,1.3619999999999983,1.3619999999999983,1.3619999999999983,0.5404761904761904,0.5404761904761904,0.5404761904761904,0.16010971786833406,0.17411931818181614,0.09286363636363149
6.215833333333336,2.29147189153439,6.215833333333331,6.215833333333333,6.215833333333336,0.0,0.0,0.0,2.54125,0.7623749999999999,1.0165,1.134722222222222,1.3616666666666681,0.9077777777777779,2.638888888888889,3.1666666666666665,1.0555555555555556,6.215833333333336,2.29147189153439,3.151360544217694,3.151360544217694,3.151360544217694,2.8362244897958973,2.8362244897958973,2.8362244897958973,2.6471428571427893,2.6471428571427826,2.6471428571427973,0.789630681818182,0.3790227272727274,0.2659808612440192
6.307646009499356,4.019872813990461,6.307646009499356,6.307646009499356,6.307646009499356,0.0,0.0,0.0,4.988875,2.9933249999999987,1.9955499999999997,2.2276388888888885,2.673166666666667,1.782111111111111,3.4537037037037037,6.216666666666667,4.144444444444445,6.307646009499356,4.019872813990461,1.2283333333333166,1.2283333333333335,1.2283333333333077,0.7369999999999575,0.7370000000000001,0.7369999999999255,0.4913333333332712,0.4913333333333334,0.4913333333332197,0.020426829268292684,0.04187499999999981,0.02791666666666733
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
6.348750000000004,2.3562176339285905,6.348749999999999,6.34875,6.348749999999996,0.0,0.0,0.0,3.0033562499999995,0.9010068750000002,0.6006712500000004,0.8940416666666664,0.8046375000000001,0.5364250000000004,6.2375,1.2474999999999998,0.8316666666666657,6.348749999999999,2.3562176339285905,0.2058823529411765,0.2058823529411765,0.2058823529411765,0.1469999999999998,0.147,0.14699999999999966,0.1306666666666665,0.1306666666666665,0.1306666666666665,0.023863636363636365,0.021100478468899522,0.01572192513368984
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.8116666666666585,3.507755952380946,5.8116666666666585,5.8116666666666585,5.8116666666666585,0.0,0.0,0.0,0.14445000000000086,0.08667000000000158,0.057780000000000165,0.06450000000000067,0.0774000000000008,0.051599999999999646,0.3,0.17999999999999972,0.11999999999999823,5.8116666666666585,3.507755952380946,4.577333333333322,4.577333333333322,4.577333333333322,3.5030612244897954,3.5030612244897954,3.5030612244897954,3.0515555555555385,3.0515555555555385,3.0515555555555385,1.300378787878788,0.7802272727272737,0.5201515151515158
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.0,0.9623015873015871,5.0,5.0,5.0,0.0,0.0,0.0,1.59229375,0.9553762500000005,1.273835,0.9479907407407394,1.7063833333333331,1.137588888888889,3.3069444444444454,1.984166666666667,1.322777777777778,5.0,0.9623015873015871,2.276333333333326,2.276333333333336,2.276333333333336,1.7420918367346714,1.7420918367346854,1.7420918367346852,1.1613945578231133,1.1613945578231195,1.1613945578231195,0.352737603305785,0.2450598086124399,0.18259358288770047
