,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3
10,10902,6504,4398,3655,2558,631,1096,0,4017,2930,874,646,471,125,491,340,108,801,544,175,337,276,84,1742,1299,382,3081,467.95835380835626,1089.4418175509218,765.0893061893087,1040.289306189345,1153.2893061893594,,318.8374108380606,319.167816243466,318.43200543265516,317.1407892164389,148,21,24,23,5,0,0,3
11,10902,7281,3621,3640,2548,573,1092,0,4079,3590,884,525,463,122,631,569,135,531,536,107,0,2,0,2392,2020,520,2349,452.072542997545,1058.1841376673954,747.603495378498,980.6034953785291,1115.8034953785423,,341.75975881773866,341.0076940234994,341.74016422314406,300.7192182771969,146,27,23,24,1,0,0,5
12,10902,7475,3427,3738,2616,697,1121,0,4272,2966,751,474,363,96,934,626,156,383,302,74,8,10,1,2473,1665,424,2913,468.3637592137617,1088.9607084840577,771.6947115947146,1052.6947115947542,1159.29471159477,,331.6714678653277,330.93565705451687,330.93565705451687,315.530251649111,151,35,19,16,1,0,0,0
13,10902,6856,4046,3428,2400,730,1028,0,4124,2591,660,1001,599,174,715,516,113,507,332,74,5,9,1,1896,1135,298,3527,486.20159705160006,1078.5102414763273,764.9325494325528,1022.9325494325853,1151.7325494326021,,353.149740928182,352.33893011737115,1027.6541603952448,351.5281193065603,138,27,36,19,1,0,0,2
14,10902,7828,3074,3914,2740,483,1174,0,3432,3056,1173,485,447,169,536,490,216,323,296,94,8,7,3,2080,1816,691,3241,478.0184889434917,1152.1590391828522,795.7494413244443,1096.749441324494,1200.949441324505,,322.9804429799889,322.9804429799889,322.72503757458344,294.60206460160964,158,25,23,15,1,0,0,10
15,10902,6916,3986,3458,2421,770,1037,0,2787,3257,674,654,707,147,163,218,45,588,740,152,218,291,63,1164,1301,267,4184,505.2556511056547,1098.4661343193045,786.5866034866071,1053.9866034866473,1175.9866034866648,,369.80917323826793,370.13957864367336,370.13957864367336,369.3287678328625,140,9,31,30,12,0,0,4
16,10902,6822,4080,3458,2421,770,1037,0,4113,2843,461,669,490,80,774,538,103,794,553,79,0,0,0,1876,1262,199,3485,505.2556511056547,1098.4661343193045,786.5866034866071,1053.9866034866473,1175.9866034866648,,369.80917323826793,370.13957864367336,370.13957864367336,369.3287678328625,140,9,31,30,12,0,0,4
17,10902,7705,3197,3852,2697,501,1156,0,3977,3453,1023,369,356,91,472,397,124,671,564,153,0,0,0,2465,2136,655,2449,454.9853808353829,1107.4037331861339,767.9163332163353,1058.316333216376,1158.3163332163874,,319.6808073852599,320.2362127906653,320.49161819607076,369.3287678328625,156,20,17,28,12,0,0,9
18,10902,7644,3258,3822,2675,570,1147,0,3853,3358,943,492,434,104,291,264,66,743,654,194,11,3,2,2316,2003,577,2748,463.8292997543021,1106.6935892756128,774.1602521352548,1061.960252135296,1163.960252135309,,337.8123844197942,338.21778982519965,338.01398147139065,332.1367087441184,154,13,21,32,1,0,0,5
19,10902,7427,3475,3714,2599,601,1114,0,3299,3830,887,283,359,79,556,695,163,555,636,131,5,12,1,1900,2128,513,2886,467.55294840295085,1091.1327516490799,769.2839007839034,1049.0839007839418,1151.0839007839554,,352.24258987574626,352.6479952811517,352.6479952811517,347.85813041628666,150,29,15,27,1,0,0,4
